"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val"
"1",6,71,"LED-240-S00-35","BEVELED 2.1",13.8,15.709
"2",7,52,"LED-240-S00-30","BEVELED 2.1",13.8,15.709
"3",3,44,"LED-203-27","NANO/MINI",11.7,12.5612
"4",3,30,"LED-307-S00-30","BEVELED PRIMARY",2.8356,4.1327
"5",2,28,"LED-203-40","NANO/MINI",11.7,12.5612
"6",1,25,"LED-307-S00-40","BEVELED PRIMARY",2.8356,4.1327
"7",3,23,"LED-203-35","NANO/MINI",11.7,12.5612
"8",2,18,"LED-219-S00-6022","BEVELED COLOR SELECT",20.1,20.725
"9",2,16,"LED-240-H00-30","BEVELED 2.1",13.8,15.709
"10",1,15,"LED-198-H70-3022","BEVELED 2.0 WGD",30.98,32.889
"11",1,14,"LED-203-30","NANO/MINI",11.7,12.5612
"12",5,14,"LED-213-S00-30","BEVELED BASIC",11.7,13.609
"13",2,11,"LED-326-S00-30","BEVELED 2.2",9.9,11.809
"14",1,10,"LED-213-S00-27","BEVELED BASIC",11.7,13.609
"15",2,10,"LED-307-S00-35","BEVELED PRIMARY",2.8356,4.1327
"16",1,9,"LED-204-S00-2722","BEVELED WGD",14.42,15.045
"17",3,8,"LED-240-S00-27","BEVELED 2.1",13.8,15.709
"18",2,7,"LED-213-S00-35","BEVELED BASIC",11.7,13.609
"19",1,6,"LED-203-27-HI","NANO/MINI",11.7,12.3874
"20",2,5,"LED-313-H00-2722","BEVELED MINI WGD",25.3,25.925
"21",3,4,"LED-319-S00-30","BEVELED MINI",10.25,11.6139
"22",2,3,"LED-326-S00-35","BEVELED 2.2",9.9,11.809
"23",1,2,"LED-204-H00-3022","BEVELED WGD",14.43,15.2288
"24",2,2,"LED-273-S00-RGB30","BEVELED 2.1",44,45.909
"25",1,1,"LED-203-30-HI","NANO/MINI",11.7,12.3874
"26",1,1,"LED-274-S00-30","SLIVERLED",10.82,12.3426
"27",1,1,"LED-281-H00-3022","SLIVERLED WGD",11.85,13.3726
"28",1,1,"LED-293-S00-35","BEVELED 2.1",23.95,25.859
"29",1,1,"LED-293-S00-40","BEVELED 2.1",23.95,25.859
"30",1,1,"LED-307-H00-27","BEVELED PRIMARY",2.8356,4.1644
"31",1,1,"LED-313-S00-3022","BEVELED MINI WGD",25.3,25.925
"32",1,1,"LED-319-S00-35","BEVELED MINI",10.25,11.6139
"33",1,1,"LED-336-S00-RGB30","BEVELED MINI",29.85,30.475
"34",1,1,"LED-401-H00-3018",NA,4.743,6.0401
