"","LED","Product_Family","Qty","# of RMAs","LEM_Price","LED_Acct_Val"
"1","LED-203-30","NANO/MINI",39,5,150,58.5
"2","LED-230-S02-30","BEVELED 2.0",30,1,55,24.69
"3","LED-240-S00-35","BEVELED 2.1",28,2,80,27.6
"4","LED-240-S00-40","BEVELED 2.1",25,3,120,41.4
"5","LED-326-S00-30","BEVELED 2.2",16,2,70,19.8
"6","LED-319-H00-30","BEVELED MINI",10,1,40,10.55
"7","LED-319-S00-35","BEVELED MINI",9,3,105,30.75
"8","LED-203-40","NANO/MINI",6,1,30,11.7
"9","LED-319-H00-27","BEVELED MINI",6,1,40,10.25
"10","LED-240-S00-30","BEVELED 2.1",5,2,120,41.4
"11","LED-203-30-HI","NANO/MINI",4,1,35,11.7
"12","LED-213-S00-30","BEVELED BASIC",4,2,60,23.4
"13","LED-240-H00-27","BEVELED 2.1",2,2,90,27.6
"14","LED-307-S00-30","BEVELED PRIMARY",2,1,20,2.8356
"15","LED-203-27-HI","NANO/MINI",1,1,35,11.7
"16","LED-203-35","NANO/MINI",1,1,30,11.7
"17","LED-212-S00-6022","BEVELED 2.1",1,1,75,21.5
"18","LED-213-S00-35","BEVELED BASIC",1,1,30,11.7
"19","LED-218-S00-27","BEVELED",1,1,90,39.85
"20","LED-240-H01-35","BEVELED 2.1",1,1,45,13.8
"21","LED-273-S00-RGB30","BEVELED 2.1",1,1,90,44
"22","LED-275-S70-3022","BEVELED 2.2",1,1,60,27.2
"23","LED-293-H00-27","BEVELED 2.1",1,1,70,23.95
"24","LED-307-S00-35","BEVELED PRIMARY",1,1,20,2.8356
"25","LED-313-S00-3022","BEVELED MINI WGD",1,1,60,25.3
"26","LED-326-H00-30","BEVELED 2.2",1,1,26,9.9
