"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val","LEM_Price","CostToReturn"
"1",5,39,"LED-203-30","NANO/MINI",456.3,489.8868,1170,680.1132
"2",1,30,"LED-230-S02-30","BEVELED 2.0",740.7,797.97,1650,852.03
"3",2,28,"LED-240-S00-35","BEVELED 2.1",386.4,439.852,1120,680.148
"4",3,25,"LED-240-S00-40","BEVELED 2.1",345,392.725,1000,607.275
"5",2,16,"LED-326-S00-30","BEVELED 2.2",158.4,188.944,560,371.056
"6",1,10,"LED-319-H00-30","BEVELED MINI",105.5,116.139,400,283.861
"7",3,9,"LED-319-S00-35","BEVELED MINI",92.25,104.5251,315,210.4749
"8",1,6,"LED-203-40","NANO/MINI",70.2,75.3672,180,104.6328
"9",1,6,"LED-319-H00-27","BEVELED MINI",61.5,69.6828,240,170.3172
"10",2,5,"LED-240-S00-30","BEVELED 2.1",69,78.545,200,121.455
"11",1,4,"LED-203-30-HI","NANO/MINI",46.8,49.5496,140,90.4504
"12",2,4,"LED-213-S00-30","BEVELED BASIC",46.8,54.436,120,65.564
"13",2,2,"LED-240-H00-27","BEVELED 2.1",27.6,31.418,90,58.582
"14",1,2,"LED-307-S00-30","BEVELED PRIMARY",5.6712,8.2654,40,31.7346
"15",1,1,"LED-203-27-HI","NANO/MINI",11.7,12.3874,35,22.6126
"16",1,1,"LED-203-35","NANO/MINI",11.7,12.5612,30,17.4388
"17",1,1,"LED-212-S00-6022","BEVELED 2.1",21.5,23.409,75,51.591
"18",1,1,"LED-213-S00-35","BEVELED BASIC",11.7,13.609,30,16.391
"19",1,1,"LED-218-S00-27","BEVELED",39.85,42.3491,90,47.6509
"20",1,1,"LED-240-H01-35","BEVELED 2.1",13.8,15.709,45,29.291
"21",1,1,"LED-273-S00-RGB30","BEVELED 2.1",44,45.909,90,44.091
"22",1,1,"LED-275-S70-3022","BEVELED 2.2",27.2,29.109,60,30.891
"23",1,1,"LED-293-H00-27","BEVELED 2.1",23.95,25.859,70,44.141
"24",1,1,"LED-307-S00-35","BEVELED PRIMARY",2.8356,4.1327,20,15.8673
"25",1,1,"LED-313-S00-3022","BEVELED MINI WGD",25.3,25.925,60,34.075
"26",1,1,"LED-326-H00-30","BEVELED 2.2",9.9,11.809,26,14.191
