,# of RMAs,Qty,E2,DIM_Type,E2_Acct_Val,SP_Acct_Val,Total_cost
1,2,26,E2-733,6F,$16.50,$30.11,$782.86
2,1,19,E2-526,2,$15.72,$25.81,$490.39
3,3,12,E2-404,2,$12.30,$17.95,$215.40
4,2,11,E2-527,2,$14.31,$20.57,$226.27
5,1,11,E2-906,6E,$13.91,$17.89,$196.79
6,1,10,E2-469,4,$66.30,$75.48,$754.80
7,1,6,E2-925,4P,$45.39,$53.57,$321.42
8,1,5,E2-283,2,$14.57,$21.14,$105.70
9,2,5,E2-526,2,$15.72,$28.60,$143.00
10,1,5,E2-877,22,$12.47,$20.97,$104.85
11,1,5,E2-887,22,$12.19,$20.64,$103.20
12,1,5,E2-906,6E,$13.25,$24.04,$120.20
13,1,4,E2-468,3,$45.39,$55.42,$221.68
14,1,3,E2-721,19,$18.96,$25.27,$75.81
15,1,3,E2-721,19,$18.96,$29.59,$88.77
