"","# of RMAs","Qty","LED","Product_Family","LED_Acct_Val","LEM_Acct_Val","Total_cost"
"1",3,61,"LED-213-S00-30","BEVELED BASIC",11.7,13.609,830.149
"2",2,19,"LED-203-40","NANO/MINI",11.7,12.5612,238.6628
"3",1,16,"LED-203-27-HI","NANO/MINI",11.7,12.3874,198.1984
"4",1,16,"LED-273-S00-RGB30","BEVELED 2.1",44,45.909,734.544
"5",1,13,"LED-204-S00-2722","BEVELED WGD",14.42,15.045,195.585
"6",1,12,"LED-240-S00-35","BEVELED 2.1",13.8,15.709,188.508
"7",2,9,"LED-203-35","NANO/MINI",11.7,12.5612,113.0508
"8",2,6,"LED-203-30","NANO/MINI",11.7,12.5612,75.3672
"9",1,6,"LED-313-H00-3022","BEVELED MINI WGD",25.3,25.925,155.55
"10",1,5,"LED-203-27","NANO/MINI",11.7,12.5612,62.806
"11",2,5,"LED-402-H01-27",NA,6.91,18.8404,94.202
"12",1,3,"LED-240-H00-30","BEVELED 2.1",13.8,15.709,47.127
"13",2,3,"LED-319-S00-35","BEVELED MINI",10.25,11.6139,34.8417
"14",1,2,"LED-307-S00-27","BEVELED PRIMARY",2.8356,4.1327,8.2654
"15",1,2,"LED-402-H01-30",NA,6.91,18.78,37.56
"16",1,1,"LED-213-S00-35","BEVELED BASIC",11.7,13.609,13.609
"17",1,1,"LED-240-H00-27","BEVELED 2.1",13.8,15.709,15.709
"18",1,1,"LED-240-S00-27","BEVELED 2.1",13.8,15.709,15.709
"19",1,1,"LED-240-S00-30","BEVELED 2.1",13.8,15.709,15.709
"20",1,1,"LED-281-H00-3022","SLIVERLED WGD",11.85,13.3726,13.3726
"21",1,1,"LED-307-H00-27","BEVELED PRIMARY",2.8356,4.1644,4.1644
"22",1,1,"LED-307-H00-30","BEVELED PRIMARY",2.8356,4.1327,4.1327
"23",1,1,"LED-313-S00-3022","BEVELED MINI WGD",25.3,25.925,25.925
