# of RMAs,Qty,LED
6,79,LED-203-27
1,1,LED-203-27-HI
7,16,LED-203-30
1,1,LED-204-H00-3022
1,5,LED-204-S00-2722
1,2,LED-212-S00-6022
2,5,LED-213-S00-30
4,10,LED-213-S00-35
3,3,LED-240-H00-30
2,13,LED-240-H01-35
1,3,LED-240-S00-27
6,15,LED-240-S00-30
5,27,LED-240-S00-35
1,15,LED-240-S00-40
3,5,LED-273-S00-RGB30
1,1,LED-274-H00-27
1,1,LED-274-H00-30
2,4,LED-307-H00-27
1,1,LED-307-H00-30
1,1,LED-307-S00-30
3,5,LED-307-S00-35
1,1,LED-313-H00-3022
1,1,LED-319-H00-30
1,1,LED-319-S00-30
1,1,LED-319-S00-35
1,2,LED-326-S00-35
1,1,LED-336-S00-RGB30
