# of RMAs,Qty,LED,Product_Family,LED Cost,LEM Kit Cost,Total Cost,,,LED,Qty
3,45,LED-203-35,NANO/MINI,$11.70 ,$12.56 ,$565.25 ,,,LED-203-35,45
4,45,LED-240-S00-30,BEVELED 2.1,$13.80 ,$15.71 ,$706.91 ,,,LED-240-S00-30,45
5,36,LED-203-30,NANO/MINI,$11.70 ,$12.56 ,$452.20 ,,,LED-203-30,36
1,21,LED-274-S00-27,SLIVERLED,$10.82 ,$12.34 ,$259.19 ,,,LED-274-S00-27,21
2,17,LED-307-S00-30,BEVELED PRIMARY,$2.84 ,$4.13 ,$70.26 ,,,LED-307-S00-30,17
1,15,LED-281-S00-3022,SLIVERLED WGD,$11.55 ,$13.16 ,$197.43 ,,,LED-281-S00-3022,15
1,15,LED-307-H00-30,BEVELED PRIMARY,$2.84 ,$4.13 ,$61.99 ,,,LED-307-H00-30,15
4,11,LED-240-S00-35,BEVELED 2.1,$13.80 ,$15.71 ,$172.80 ,,,LED-240-S00-35,11
1,10,LED-213-S00-35,BEVELED BASIC,$11.70 ,$13.61 ,$136.09 ,,,LED-213-S00-35,10
3,10,LED-326-S00-35,BEVELED 2.2,$9.90 ,$11.81 ,$118.09 ,,,LED-326-S00-35,10
1,8,LED-213-S00-30,BEVELED BASIC,$11.70 ,$13.61 ,$108.87 ,,,LED-213-S00-30,8
2,6,LED-307-S00-35,BEVELED PRIMARY,$2.84 ,$4.13 ,$24.80 ,,,LED-307-S00-35,6
1,5,LED-198-S70-2722,BEVELED 2.0 WGD,$30.98 ,$32.89 ,$164.45 ,,,LED-198-S70-2722,5
1,5,LED-234-S00-2722,BEVELED 5.0,$58.25 ,$61.02 ,$305.12 ,,,LED-234-S00-2722,5
2,5,LED-240-H00-27,BEVELED 2.1,$13.80 ,$15.71 ,$78.55 ,,,LED-240-H00-27,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,254,,,"$3,422.00 ",,,,
